Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount,HighestViewedVideoURL
桜井ゆりか,590,16219,51,56,https://www.youtube.com/watch?v=jP0D2T1_yQ4
守宮雨玥,590,4571,204,271,https://www.youtube.com/watch?v=Ygb_pD4K9J0
北斗香菜,590,0,0,0,
竜崎げみ,569,10261,79,120,https://www.youtube.com/watch?v=u5ivp_gOw30
if.凛々,567,7342,201,290,https://www.youtube.com/watch?v=sjA2e5_K7qw
夢藤修,559,13174,35,44,https://www.youtube.com/watch?v=UCqJKCNkmXc
伊果,556,9352,91,175,https://www.youtube.com/watch?v=aTxtEaVnsIM
隨心,554,14172,39,87,https://www.youtube.com/watch?v=QYq3FLc2VAw
諾茲托特,552,16667,118,1320,https://www.youtube.com/watch?v=xO4bIeLvlgo
蜜瑮恩洛托,546,7530,151,312,https://www.youtube.com/watch?v=_1rttfeiQZU
綈賽兒,542,16597,109,167,https://www.youtube.com/watch?v=clnDhJ_twSo
亞德‧薩達格,540,12361,82,850,https://www.youtube.com/watch?v=-1npbytgnOM
神無月嵐,510,5604,138,543,https://www.youtube.com/watch?v=yr_lICpW1h4
諾櫻,492,4375,158,606,https://www.youtube.com/watch?v=kBbTA6e5KFk
山尾白,492,910,0,0,
小羊許普,483,4997,89,150,https://www.youtube.com/watch?v=nzcADPrdA7M
ﾊﾞｰﾁｬﾙアルパカ草泥馬,447,11146,0,0,
白川フロ,417,10716,125,234,https://www.youtube.com/watch?v=yoIOJ4v2CSc
十亀あずみ,412,5747,64,144,https://www.youtube.com/watch?v=0WdqO0CpsCA
宮森繪里奈,411,3991,89,122,https://www.youtube.com/watch?v=TyTiN5D79C0
帕露菲,401,3796,0,0,
草妳莓,401,3418,88,122,https://www.youtube.com/watch?v=fl4kV-IzNMs
黑暗,398,10000,85,94,https://www.youtube.com/watch?v=dUIbr-QBlPQ
ELA,377,15958,0,0,
冥雪,376,4076,42,42,https://www.youtube.com/watch?v=J4kK6dmgFbA
解凍三色豆,376,5106,602,2090,https://www.youtube.com/watch?v=19WVS2npvF0
雲龍八將,375,0,0,0,
嗚洽ゆき,368,2122,153,649,https://www.youtube.com/watch?v=GYgGI2zPWUk
天狐十楠,360,1477,76,80,https://www.youtube.com/watch?v=y2n8ES1WiFM
如咪,358,415,0,0,
黑野悠真,357,4044,83,191,https://www.youtube.com/watch?v=F0Yy5eJCJfg
小倉亞里亞,355,1819,398,398,https://www.youtube.com/watch?v=TnNMnLfZuZo
斯比,348,2231,572,572,https://www.youtube.com/watch?v=qnP8-UFvtFA
夢,339,2121,26,60,https://www.youtube.com/watch?v=ddan5HSmstM
青羽ミ,334,2189,141,149,https://www.youtube.com/watch?v=8MKkO-IN9Dc
灰妲,326,3136,156,586,https://www.youtube.com/watch?v=ijx2JgEe5RM
黑木悠彩,312,4410,87,119,https://www.youtube.com/watch?v=YKDVDQ9vdGk
佐藤サキ,310,3893,0,0,
レレイ緒文,310,425,0,0,
夢乃ミラ,296,0,0,0,
Loya,289,1503,80,109,https://www.youtube.com/watch?v=cXxNsE9U3Gw
鹿遙,281,2417,140,203,https://www.youtube.com/watch?v=Kl2UZwM9KDA
飯團泉,277,22336,0,0,
猫目ひな,249,10844,0,0,
優尼椪,240,4686,293,952,https://www.youtube.com/watch?v=RE8OSal_14k
米秝,226,1468,33,56,https://www.youtube.com/watch?v=KdrW52RDxxQ
氦氦,210,1820,170,913,https://www.youtube.com/watch?v=6z8QrFI8ero
小森未央,198,1126,0,0,
向日葵茄子,195,2080,259,790,https://www.youtube.com/watch?v=Dh1i8gWQN6E
心花りりゆ,168,1951,53,53,https://www.youtube.com/watch?v=dqHbVyw0MiM
朝日陽奈,160,783,261,332,https://www.youtube.com/watch?v=1zBq-2rVz4U
舞鐮冬,159,0,0,0,
荒幽ばつ,137,1142,0,0,
西婭,133,1693,147,503,https://www.youtube.com/watch?v=OoPnvf5wrwk
星之川涅緒,130,0,0,0,
