VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Popularity,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
d1dd83b6e8a24df4b61f766cff45113c,24700,13257167,862,465,4852,https://www.youtube.com/watch?v=DTkiGdWavtE,0,0,0,0,
84a911e2b05f4919a32e0c1618e32a7d,24700,314176,1015,640,5076,https://www.youtube.com/watch?v=2s_OrTnlgZQ,0,0,0,0,
6c88799c6f45407faf0f9ea007b0dcab,24500,838135,2945,1385,7069,https://www.youtube.com/watch?v=elAcSLyKopY,0,0,0,0,
22c8ee785f7446e5978bab336fda92cb,24400,324980,1384,647,2930,https://www.youtube.com/watch?v=2ZR7xYBkfZA,0,0,0,0,
95de1fe6727944e68404aec425d09170,24400,1496028,3215,1543,8971,https://www.youtube.com/watch?v=JrDnQaAjRRA,983,0,0,0,
d797701ab1564b62906f91a341134a9e,22400,794227,2439,534,8171,https://www.youtube.com/watch?v=Xx5EqScBoIw,1332,282,251,282,https://www.twitch.tv/videos/1643227554
7081557634db487fa467b0bd2f939f66,22300,586081,1437,625,5574,https://www.youtube.com/watch?v=DTEoIgDpbVU,0,0,0,0,
9d9c6477329245cbb2557895f4f15686,22100,522460,2996,1039,5527,https://www.youtube.com/watch?v=bAqImXRb7AU,37489,18721,9138,82596,https://www.twitch.tv/videos/1624618050
60716febdfe949248e8f67d85634bec5,21600,7623360,301,226,301,https://www.youtube.com/watch?v=UJKL3x3rdTM,0,0,0,0,
1b63d89e0b1a4b579de6d99e25eaff8f,20900,1142721,2709,1367,7108,https://www.youtube.com/watch?v=GdHoBNL33hU,2539,0,0,0,
bc0b8c437eda4361b2a10003013f49cf,20300,172017,164,48,429,https://www.youtube.com/watch?v=UVMtLUS-Fl4,0,0,0,0,
de0e98c9266449b7874a942cbbb63a0d,20000,1036927,2949,1536,10917,https://www.youtube.com/watch?v=0_kZfryn9hY,1905,1142,665,1142,https://www.twitch.tv/videos/1634791362
3be86a2a9cb447f393d235132e157789,19900,897266,2053,726,3895,https://www.youtube.com/watch?v=rA9oxdNjV_Y,0,0,0,0,
58abad4aa8de49efb785367503dfd92c,19900,748545,2113,766,27410,https://www.youtube.com/watch?v=umSYH8XhyF4,0,0,0,0,
bed13deb3871443980e131a466519b54,19700,940211,1780,949,2137,https://www.youtube.com/watch?v=ekWWi6ANnAo,0,0,0,0,
d6c4708f6eb94ac6ad7668363b132248,19500,1168247,882,323,20198,https://www.youtube.com/watch?v=IQbMfeWJubc,0,0,0,0,
1cfadb0d2e154a258c3177ff8264336f,18800,877477,2565,1983,8854,https://www.youtube.com/watch?v=M35fsp_WBPY,0,0,0,0,
f7c48554816643cdb8d343e6e9e6d313,18700,893234,780,510,1990,https://www.youtube.com/watch?v=x2uwh78aRPk,3733,0,0,0,
94082eb7d950471b934592394ad3e4c8,18600,655506,446,214,820,https://www.youtube.com/watch?v=2q3XUFmhNeU,0,0,0,0,
b42416c629e64c948f75aff4ff5c9a8a,17800,401713,1288,547,3062,https://www.youtube.com/watch?v=5eZ6Wx4tp38,0,0,0,0,
0665fb3db61c43b5933f1de118625382,17400,1030884,0,0,0,,0,0,0,0,
ce2a2c07a74640fc8d3b39d022b16dd9,16600,582655,825,318,2061,https://www.youtube.com/watch?v=UveD3w2bjrw,0,0,0,0,
67d6807619064938a78832b4106de5c0,16500,599540,458,192,890,https://www.youtube.com/watch?v=UnilSE-bYMc,0,0,0,0,
d32bd28cd67b4e64a56b24f9a76dadcd,16300,777312,0,0,0,,327,0,0,0,
b63a5ee44acf4498827a3fd984ab23e0,15900,789080,1742,1130,2170,https://www.youtube.com/watch?v=dcBXuoO2vvc,0,0,0,0,
2a28e77671ae43d7bccec54e7e956dd9,15800,695599,1385,781,2690,https://www.youtube.com/watch?v=WoF0x53B_2A,0,0,0,0,
