VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Thumbnail URL,Twitch Follower Count,Twitch Thumbnail URL
038ee6280ef742bcad8450ad52049944,3090,199176,https://yt3.ggpht.com/9HQfYArI_tOPwnx7g_P0OMz6cuymn4JFxR1R8oe_abrNUeHEyWfua5vBeKdfue4THyJl-GCV3eE=s88-c-k-c0x00ffffff-no-rj,,
03b825a2908749099e40cd4a4d1169aa,7030,159281,https://yt3.ggpht.com/4qs2hZ2wJooK0J5Svo7p_nlEZ86PSxf127eMAuuCYO_w63h3byyKhtJbSEgZAGP__Z8ndFsY=s88-c-k-c0x00ffffff-no-rj,,
03c018f2d3064da6ac4899bef1d600c5,,,,6240,https://static-cdn.jtvnw.net/jtv_user_pictures/2cb44731-e471-4505-9ebb-e9bf72980afa-profile_image-300x300.png
03c9aa020ec14f7494dd142676c94405,1220,6956,https://yt3.ggpht.com/o6c3hrck3P9WipfMGQp0SHhatyW8HDmqkqg6hnpW_Pmoijn2hSaTJUfm_e9FGTcKEkL7z4M9Vg0=s88-c-k-c0x00ffffff-no-rj,2631,https://static-cdn.jtvnw.net/jtv_user_pictures/c435f19d-c88f-4eb9-8353-755dfb985660-profile_image-300x300.png
03c9d83a4c534b65a5743b381eb2ce33,714,9937,https://yt3.ggpht.com/i6XBoyb_aS15XJVpnS5GvsWTM4hRzem0iIkS4c09Bm-5elY2PGLWC-NidfEcmps-iveqGuYTBg=s88-c-k-c0x00ffffff-no-rj,365,https://static-cdn.jtvnw.net/jtv_user_pictures/2ff033fc-4609-4c0f-8a3c-a5679f51d390-profile_image-300x300.png
03e9bea117bd4b5ba189b48f1617d9bb,281,7508,https://yt3.ggpht.com/ieBhJbLBS7KkvJj6WfuMNODEbaheqqMbkEMa37-iJl46QSeU6nXKNMjv_K8yqJZiY-_V4qiTCA=s88-c-k-c0x00ffffff-no-rj,,
0414bb8fc082472a9434bd4a463a9865,2060,65032,https://yt3.ggpht.com/cqmstFioced1zIvXrRGblqebm1SsZy7ltGunYNi-9JCrLQkNMdzlDnDYZnwb-aZi8UUJA2SM2og=s88-c-k-c0x00ffffff-no-rj,144,https://static-cdn.jtvnw.net/jtv_user_pictures/6a674f9d-f07c-41a8-a5eb-268ba52fad0c-profile_image-300x300.png
041976bda8b8410a99af25fc4cb87970,2300,41841,https://yt3.ggpht.com/pGm0Ezol0vt7caOH_0MrgeODThJKEv4RRBflFcrDsLdaplaGCdwREf2IjrxYazYRmYoA7ngPkQ=s88-c-k-c0x00ffffff-no-rj,48,https://static-cdn.jtvnw.net/jtv_user_pictures/9c3c5528-518e-4331-b014-6dfdf0cb0fd4-profile_image-300x300.png
0446516df6074a4ba8a0f3639b17de46,541,7568,https://yt3.ggpht.com/AR09Ii1ei-UzAXuSl4FsactLMhqIem17beZqXFnQYvQz3oSfY3t_IqZwM9TlW5rWrZYLakF34A=s88-c-k-c0x00ffffff-no-rj,,
0448e6929687421c9e0435832765b9fe,7300,93337,https://yt3.ggpht.com/01lC9dPS-JG8wTVe8hCe3h8wr1AQxfz1brjFX0dUAmWc8cFCszsGYU8b95s8NhV6-4qEcoi0TgY=s88-c-k-c0x00ffffff-no-rj,1080,https://static-cdn.jtvnw.net/jtv_user_pictures/5ec8b8b3-e0ac-4c5e-849b-6cfd6416906c-profile_image-300x300.png
0471d5082a2e419786e141d6424c9150,5990,207319,https://yt3.ggpht.com/a1SN0__mWv9n6UDKkCpCsDdV0MTQI1C6H3tRvzZNyAT3uOBNKStFsTVopmgPZzXT6QE4Fx12gQ=s88-c-k-c0x00ffffff-no-rj,6359,https://static-cdn.jtvnw.net/jtv_user_pictures/febf8817-6a39-4862-8517-61bc53f483fc-profile_image-300x300.png
0490d9546bce4068a0f52b39046bdf91,433,2517,https://yt3.ggpht.com/1BUQkpPCs4TP_wvjJPoblnDiBTgpOEPRUuzu9bjRBe9Wp6NgCFCwtRmsuHKUT2lgyfpyfMbifEw=s88-c-k-c0x00ffffff-no-rj,555,https://static-cdn.jtvnw.net/jtv_user_pictures/72c140f6-8674-4f38-9289-06c4a552502a-profile_image-300x300.png
049cb6d09a3b4db49962aa5b8e468a3f,850,27724,https://yt3.ggpht.com/CSWHZg7pMUOrFvm7jMKhCg1uu6AeKKglG7ugms4W38tesLtdVJfa0cZRhxE4_REKKfbLrj0R0g=s88-c-k-c0x00ffffff-no-rj,177,https://static-cdn.jtvnw.net/jtv_user_pictures/703638ea-a0ae-4448-85e0-44ccddaa725a-profile_image-300x300.png
04ca68439fd14d088c77eb0069e6414f,244,11944,https://yt3.ggpht.com/HZ45G-418GVSXE0ApTGQO6d2Ka2iXx5FVJXlv39iYsfHSAUrpXZWU8BXgu4hNXvErVZAwkVc=s88-c-k-c0x00ffffff-no-rj,115,https://static-cdn.jtvnw.net/jtv_user_pictures/dc24d2d5-b25e-4ae1-a4f2-92c07d4f5f6e-profile_image-300x300.png
04cb051e69c74105ae2f7b62ea29d1e2,169,3538,https://yt3.ggpht.com/3vsj_mgfaKtJtbVUEKhFJ-3AIbodydrEy_aAE8fc2-eAYKYJOyBbZwY1UHnxTzhTcRpeIaHQAsY=s88-c-k-c0x00ffffff-no-rj,,
04ceb6c0caf740f4a694cad25f537c1f,333,10466,https://yt3.ggpht.com/n5OvDjtkaDK1pukGtoRN7WK-tiHtFnYeW_nDRi2q502eZRsQ1dEtXR-daczGAUg615vKT7cmmA=s88-c-k-c0x00ffffff-no-rj,122,https://static-cdn.jtvnw.net/jtv_user_pictures/3e4118e0-6ebe-4ebe-b2cd-840376012752-profile_image-300x300.png
04d2ff1dde6b4bb68503a734274f4b7e,94800,5301812,https://yt3.ggpht.com/A_l5alhuV0X3y1S6LzMtWYxT8_HoKEmK3Qe8Vd0LKj7bgRsnhBkV0zGqBIW1pZ1MF13s1TuU3w=s88-c-k-c0x00ffffff-no-rj,,
04e61f47cdf542c7b5a3b3ae569fc021,160,2917,https://yt3.ggpht.com/jYITBy-o2ms968Y8Ffv9zrHdvVI_XPfYKvO8jnypRmEhehMLxUgY48Hxe0BtZNn-EUVCV1USy5E=s88-c-k-c0x00ffffff-no-rj,367,https://static-cdn.jtvnw.net/jtv_user_pictures/ba9ae73d-7b6b-4ae7-ad99-bdfc75ab55ea-profile_image-300x300.png
04e8814df3b54af0b0c7edc34b4cdda0,185,2532,https://yt3.ggpht.com/thKWrWrvFWfsD8p5lD4CWtbka7wIyeUyAenSdTan2XDgQIZdVPXm5FSFVjpV3Ul4Egqj_ziCV7I=s88-c-k-c0x00ffffff-no-rj,,
04efe2883aff4fb189084cb815c7c036,442,0,https://yt3.ggpht.com/S8WbSoW3yRwfpg1q4hbjLcnbq5Ei9Kjo60sdPPze-ZCXpeFNMszHcuSsUGh1UDgrR414ZgnmDfE=s88-c-k-c0x00ffffff-no-rj,,
05055e62d34241888df31217ac25e671,385,19370,https://yt3.ggpht.com/73uSJPJf4C6iqJ-cvLOtrn9QAOamhbOh6en0aHHuvxYFpV3RmV-viWyj3ZJKHldmnH16KCDoVdk=s88-c-k-c0x00ffffff-no-rj,1253,https://static-cdn.jtvnw.net/jtv_user_pictures/cc97c561-b1b6-4be2-b006-e136928644dd-profile_image-300x300.png
0527000bcba9495993dd16a298ca6629,306,1090,https://yt3.ggpht.com/ugYG7SuIB_3HzlOmYKyJ3-cW4Ec8DVTI4EuhkFIeNfRF9BV-gAb24N6ElSAeM1nd8di2Pk0JZg=s88-c-k-c0x00ffffff-no-rj,,
0528d5a963af400884b2db8484a0d152,723,9294,https://yt3.ggpht.com/QexPl7J4faN4W7f57CInKnT3h-wCxk1h4969S20V9m0snSR0LXGeEE8DFG4BZAPELlwpXUOj=s88-c-k-c0x00ffffff-no-rj,376,https://static-cdn.jtvnw.net/jtv_user_pictures/624b94f8-1697-41c4-8bbc-b1c8bf7791a6-profile_image-300x300.png
05434bb7cec84c04baa9a81aaf7373d0,550,16816,https://yt3.ggpht.com/bvVAQUqwcV2n1iG-uHs0H1f0fg3tAb-_GttGoD85KHR29c1LPdxDSbhUMOXPEY-VS_wZDKLF=s88-c-k-c0x00ffffff-no-rj,,
05552126457e4ebf9218498250286efd,,,,1216,https://static-cdn.jtvnw.net/jtv_user_pictures/a3d3d67b-6ab0-4d1b-a7db-1c8a72c3c095-profile_image-300x300.png
0572bddb85b24166820f34f39164f99c,,,,489,https://static-cdn.jtvnw.net/jtv_user_pictures/c082258c-a28d-4ac7-bcb9-4434de4ff657-profile_image-300x300.png
057faa70622247bd933959412bbeb667,,,,1086,https://static-cdn.jtvnw.net/jtv_user_pictures/b4444bdc-c184-49a4-9f7c-68993fc8794f-profile_image-300x300.png
058021ae015448cda91651a6bd41cdc6,2960,65670,https://yt3.ggpht.com/bfqqWvNx9Ieb0_vaXOcYtFiQ9Dlko7Yy5vQdEAy4fypKE4DVLE86bqSBXI0PBF2tBR49gay-bw=s88-c-k-c0x00ffffff-no-rj,2039,https://static-cdn.jtvnw.net/jtv_user_pictures/00a646b6-77be-4095-b9da-9f4044b25dad-profile_image-300x300.png
0591345aa6634a73ac41f08af6d4e06e,322,10325,https://yt3.ggpht.com/XE5jccji48i2P9aY074Kt0JVdvgC4QqJaeCutgP3Rp06DNNpWijIjjZQ94hfAsuNuVT2bPz0Ow=s88-c-k-c0x00ffffff-no-rj,,
05be4fb717614738a87daac46157ddb1,15100,745311,https://yt3.ggpht.com/dZpL7KEPHoGas8dx20dJeuWCO_rVsU3ZLbkVCP-Q5nHJb1uwyRQOjDwIaTx_3ZpJOvFWiLsTgA=s88-c-k-c0x00ffffff-no-rj,,
05e831b267914fc5b4d9b28de1f648dc,16200,646136,https://yt3.ggpht.com/CWSmt9LOTNBgrOqjJs3xu2XCRnScmNNI82JYXPOmOKLGkMhsJtV9JsDtai2N7TiX35M53pm6=s88-c-k-c0x00ffffff-no-rj,,
05e8faf10ef24e02adff107bf7747aff,144,6581,https://yt3.ggpht.com/u1rD-KL7Ph4fUgaGk23OizWQd9UDImaCRPwoxo-145FMTKpfkwwZf8XG7I2Ah2hDv6R9wMvR49w=s88-c-k-c0x00ffffff-no-rj,,
061fa27713ec453ebf41c21eb58b7719,118,1086,https://yt3.ggpht.com/VSwFo723gkuonj_xbJWWqdGnlJ7ANHaYrn8zwTS0VMeZKzMcLk7vl-fxA0AsNrjef5vNq8t52X8=s88-c-k-c0x00ffffff-no-rj,,
061fb9c63b7e45bb85ea7e6bd4fe3745,58,2068,https://yt3.ggpht.com/F3F1F6pAATIuDcg7KQuV0dmC9GQaBnff7M6gzdz7zP4Mz5s9xyfxCIzr0nQDxO7xGATsDdEFDRg=s88-c-k-c0x00ffffff-no-rj,172,https://static-cdn.jtvnw.net/jtv_user_pictures/a67666b3-87c2-4b96-b428-be99cb7a9853-profile_image-300x300.png
06337167c1a14d82b6a7f7cc71eac813,,,,678,https://static-cdn.jtvnw.net/jtv_user_pictures/86e937a7-b567-4cfe-8a34-fc235bbaf88b-profile_image-300x300.png
